method,parameter,avg_bpp,avg_psnr
QRes34M,16,0.17945442410806814,30.023022572199505
QRes34M,32,0.29676789914568263,31.98082486788432
QRes34M,64,0.4477948347727458,33.89135066668192
QRes34M,128,0.6695386879146099,36.112253189086914
QRes34M,256,0.9500240062673887,38.16628774007162
QRes34M,512,1.2828764642278354,40.26255098978678
QRes34M,1024,1.7443130413691204,42.24873193105062
QRes34M,2048,2.352304389079412,44.35484536488851
JPEG,10,0.3265889485677083,26.671819925308228
JPEG,50,0.905520968967014,32.17381525039673
JPEG,90,2.346322801378038,38.03397305806478
