method,parameter,avg_bpp,avg_ssim
QRes34M,16,0.23370534719899297,0.8292226269530218
QRes34M,32,0.3773229693621397,0.8839143988098472
QRes34M,64,0.558424674719572,0.9268770077915066
QRes34M,128,0.8153464130312205,0.954861133749296
QRes34M,256,1.1226477437466382,0.9739281373606502
QRes34M,512,1.4577216699719429,0.9850073060482211
QRes34M,1024,1.8678563112020492,0.9919325743774214
QRes34M,2048,2.351919766366482,0.9952656358515231
JPEG,10,0.3839355468749999,0.7888284512255546
JPEG,50,1.202454833984375,0.9438738430871807
JPEG,90,2.2045308430989583,0.9973932823008635
